index,t_solve_list,t_ground_list,ground_file_bytes_list
242,0.011s;0.379s;0.636s;0.902s;-1,4.057s;12.574s;18.009s;24.135s;-1,13870042;348355949;522839173;697322957;-1
243,0.011s;0.432s;0.784s;-1,4.064s;14.164s;21.168s;-1,13949196;364729058;554787540;-1
244,0.01s;0.495s;1.004s;1.454s;-1,3.694s;14.034s;19.972s;26.931s;-1,13154001;355512460;549655548;743799635;-1
245,0.01s;1.333s;-1,4.229s;18.533s;-1,14256838;504697579;-1
246,0.01s;0.375s;0.628s;0.883s;-1,3.924s;12.432s;19.192s;24.892s;-1,13647870;342297905;513748201;685201189;-1
247,0.011s;1.605s;-1,4.64s;20.231s;-1,14566357;558055439;-1
248,0.011s;0.552s;1.13s;-1,4.474s;17.198s;23.453s;-1,14456996;390377037;603475509;-1
249,0.011s;0.421s;0.747s;-1,4.086s;13.593s;18.668s;-1,13077333;339490331;516477834;-1
250,0.011s;1.351s;-1,4.363s;18.567s;-1,14608392;516890745;-1
251,0.01s;0.425s;0.758s;1.182s;-1,4.105s;13.791s;19.731s;26.055s;-1,13535319;349449816;531541892;713634528;-1
252,0.011s;0.501s;1.011s;1.463s;-1,3.9s;15.459s;21.035s;27.257s;-1,12997311;351063205;542591697;734120189;-1
253,0.011s;0.545s;1.089s;-1,4.664s;18.019s;27.256s;-1,14395467;385786170;596302185;-1
254,0.01s;0.383s;0.616s;0.883s;-1,4.713s;12.958s;18.286s;23.068s;-1,13685028;339806792;509961772;680116952;-1
255,0.012s;1.816s;-1,4.415s;19.918s;-1,13800166;576325501;-1
256,0.011s;0.654s;1.293s;-1,3.624s;14.618s;22.686s;-1,13071869;373733622;587993445;-1
257,0.011s;0.545s;1.081s;-1,4.536s;17.532s;25.692s;-1,4707274;375722417;580499432;-1
258,0.011s;0.433s;0.779s;-1,4.195s;14.39s;19.84s;-1,13585406;348083959;529465410;-1
259,0.01s;0.437s;0.783s;1.216s;-1,3.82s;13.98s;20s;26.647s;-1,13489906;347007075;527814970;708626061;-1
260,0.01s;0.416s;0.735s;-1,3.873s;13.397s;19.437s;-1,12923007;333901219;507901741;-1
261,0.01s;1.049s;2.038s;-1,3.801s;15.537s;24.071s;-1,13497021;442941586;722357500;-1
262,0.011s;0.952s;1.722s;-1,4.584s;18.523s;25.207s;-1,15020823;456239390;730798328;-1
263,0.011s;0.398s;0.654s;-1,4.02s;12.853s;19.844s;-1,14087548;350995278;526782341;-1
264,0.011s;0.536s;1.082s;-1,4.209s;15.248s;21.976s;-1,13792981;374692467;578955051;-1
265,0.01s;-1,3.784s;-1,13288071;-1
266,0.01s;1.023s;2.01s;-1,3.622s;15.882s;22.687s;-1,13031672;432422393;704794528;-1
267,0.01s;0.423s;0.773s;-1,3.825s;13.522s;21.3s;-1,13509885;346970565;527800955;-1
268,0.011s;0.449s;0.799s;-1,4.019s;14.707s;20.723s;-1,14037698;364114513;553790284;-1
269,0.01s;1.051s;2.046s;-1,4.046s;17.104s;26.173s;-1,13890559;447226271;730437329;-1
270,0.01s;0.44s;0.79s;1.208s;-1,3.914s;16.311s;22.33s;27.838s;-1,13637372;353360331;537424746;721491779;-1
271,0.011s;0.473s;0.864s;-1,4.553s;17.751s;23.893s;-1,14911144;380661204;578990953;-1
272,0.011s;0.386s;0.653s;3.879s,3.985s;12.815s;20.016s;23.962s,14086447;349236004;524135107;699034770
273,0.011s;0.686s;1.362s;-1,3.885s;15.572s;22.89s;-1,13913623;400645976;630054927;-1
274,0.01s;0.908s;1.634s;-1,3.956s;16.137s;23.728s;-1,14019960;430043023;688631324;-1
